,업체명,소재지도로명주소,위도,경도,차고지도로명주소,자동차총보유대수
3264,SK네트웍스(주)SK렌터카 보성 영업소,전라남도 보성군 보성읍 용문길 18,34.773754,127.094085,전라남도 보성군 보성읍 용문길 18,51005
3265,동부렌트카 여천영업소,전라남도 여수시 봉계4길 7,34.7846875,127.6637815,전라남도 봉계4길 7,2
3266,(주)오렌지렌트카,전라남도 순천시 중앙로 432,34.98304424,127.4873996,,70
3267,삼일렌트카 조례영업소,전라남도 순천시 봉화3길 40,34.964536,127.520425,전라남도 순천시 봉화3길 40,1
3268,(주)국제렌트카 순천영업소,전라남도 순천시 비봉2길 7-15(조례동),34.97142125,127.5211369,전라남도 순천시 비봉2길 7-15,0
3269,(주)강산렌터카(순천),,34.921621,127.467363,,9
3270,뉴곰두리렌터카(주) 순천영업소,전라남도 순천시 서면 선평길 175-15,34.98817631,127.4950391,전라남도 순천시 서면 선평길 175-15,4
3271,(주)제일렌트카 순천영업소,전라남도 순천시 팔마로 159,34.94436292,127.505434,,27
3272,드림렌트카 순천영업소,전라남도 순천시 순광로 20,34.954758,127.523471,전라남도 순천시 순광로 20,0
3273,(주)쏘카(광양영업소),경상북도 김천시 혁신6로 17,36.12454376,128.1837304,전라남도 순천시 순광로 221,11
3274,삼일렌트카 순천영업소,전라남도 순천시 구암길 40,34.945114,127.513074,전라남도 순천시 연향동 구암길 40,5
3275,동부렌트카 서순천영업소,전라남도 순천시 연향로 9,34.94365537,127.514763,전라남도 순천시 연향로 9,25
3276,동부렌트카 남순천영업소,전라남도 순천시 중앙로 17,34.94795377,127.4867543,전라남도 순천시 중앙로 17,13
3277,롯데렌탈(주) 순천 영업소,전라남도 순천시 충효로 121,34.949688,127.515264,전라남도 순천시 충효로 121,384
3278,동부렌트카 순천역영업소,전라남도 순천시 팔마로 98,34.9457371,127.499016,전라남도 순천시 팔마로 98,6
3279,(주)쏘카(곡성영업소),경상북도 김천시 혁신6로 17,36.12454376,128.1837304,,1
